tenure**2*MonthlyCharges**0,tenure**1*MonthlyCharges**1,tenure**0*MonthlyCharges**2,tenure**3*MonthlyCharges**0,tenure**2*MonthlyCharges**1,tenure**1*MonthlyCharges**2,tenure**0*MonthlyCharges**3,tenure**2*TotalCharges**0,tenure**1*TotalCharges**1,tenure**0*TotalCharges**2,tenure**3*TotalCharges**0,tenure**2*TotalCharges**1,tenure**1*TotalCharges**2,tenure**0*TotalCharges**3,MonthlyCharges**2*TotalCharges**0,MonthlyCharges**1*TotalCharges**1,MonthlyCharges**0*TotalCharges**2,MonthlyCharges**3*TotalCharges**0,MonthlyCharges**2*TotalCharges**1,MonthlyCharges**1*TotalCharges**2,MonthlyCharges**0*TotalCharges**3
4624.0,5412.799999999999,6336.159999999999,314432.0,368070.39999999997,430858.87999999995,504358.3359999999,4624.0,375074.4,30424049.64,314432.0,25505059.200000003,2068835375.52,167812973004.312,6336.159999999999,439057.68,30424049.64,504358.3359999999,34948991.327999994,2421754351.344,167812973004.312
9.0,240.0,6400.0,27.0,720.0,19200.0,512000.0,9.0,723.9000000000001,58225.69,27.0,2171.7000000000003,174677.07,14049858.997000001,6400.0,19304.0,58225.69,512000.0,1544320.0,4658055.2,14049858.997000001
16.0,76.0,361.0,64.0,304.0,1444.0,6859.0,16.0,293.8,5394.9025,64.0,1175.2,21579.61,396255.58862500003,361.0,1395.55,5394.9025,6859.0,26515.45,102503.1475,396255.58862500003
100.0,555.5,3085.8025,1000.0,5555.0,30858.024999999998,171416.32887499998,100.0,5513.0,303931.68999999994,1000.0,55130.0,3039316.8999999994,167557540.69699997,3085.8025,30624.714999999997,303931.68999999994,171416.32887499998,1701202.9182499996,16883405.379499994,167557540.69699997
16.0,80.2,402.00250000000005,64.0,320.8,1608.0100000000002,8060.150125000001,16.0,365.8,8363.1025,64.0,1463.2,33452.41,764805.7236250001,402.00250000000005,1833.5725000000002,8363.1025,8060.150125000001,36763.128625000005,167680.20512500004,764805.7236250001
4761.0,5827.05,7131.802500000001,328509.0,402066.45,492094.37250000006,602280.721125,4761.0,403553.4,34206121.96,328509.0,27845184.6,2360222415.2400002,200057924895.256,7131.802500000001,493914.27,34206121.96,602280.721125,41711060.101500005,2888706999.5220003,200057924895.256
676.0,1423.5,2997.5625,17576.0,37011.0,77936.625,164116.546875,676.0,36579.4,1979367.6100000003,17576.0,951064.4,51463557.86000001,2784772290.509001,2997.5625,77027.77500000001,1979367.6100000003,164116.546875,4217270.68125,108370376.64750002,2784772290.509001
121.0,491.15,1993.6225,1331.0,5402.65,21929.8475,89015.24462499999,121.0,5194.75,223020.0625,1331.0,57142.25,2453220.6875,105321224.515625,1993.6225,21085.962499999998,223020.0625,89015.24462499999,941488.2256249998,9957845.790625,105321224.515625
100.0,205.5,422.3025,1000.0,2055.0,4223.025,8678.316375,100.0,1873.5,35100.0225,1000.0,18735.0,351000.225,6575989.215375,422.3025,3850.0425,35100.0225,8678.316375,79118.37337500001,721305.462375,6575989.215375
625.0,1388.75,3085.8025,15625.0,34718.75,77145.0625,171416.32887499998,625.0,35132.5,1974868.0899999999,15625.0,878312.5,49371702.25,2775282126.877,3085.8025,78064.415,1974868.0899999999,171416.32887499998,4336478.253249999,109703922.39949998,2775282126.877
121.0,834.9000000000001,5760.810000000001,1331.0,9183.900000000001,63368.91000000002,437245.4790000001,121.0,9530.4,750648.96,1331.0,104834.4,8257138.56,650362258.944,5760.810000000001,65759.76000000001,750648.96,437245.4790000001,4991165.784000001,56974256.064,650362258.944
